 0 1 2
0 0.0 274.0 468.0
1 1.0 274.0 468.0
2 2.0 274.0 468.0
3 2.0 274.0 467.0
4 2.0 273.0 467.0
5 3.0 273.0 467.0
6 4.0 273.0 467.0
7 4.0 273.0 466.0
8 5.0 273.0 466.0
9 6.0 273.0 466.0
10 6.0 273.0 465.0
11 7.0 273.0 465.0
12 8.0 273.0 465.0
13 8.0 273.0 464.0
14 9.0 273.0 464.0
15 9.0 273.0 463.0
16 10.0 273.0 463.0
17 10.0 273.0 462.0
18 11.0 273.0 462.0
19 12.0 273.0 462.0
20 12.0 273.0 461.0
21 13.0 273.0 461.0
22 14.0 273.0 461.0
23 14.0 273.0 460.0
24 15.0 273.0 460.0
25 16.0 273.0 460.0
26 16.0 273.0 459.0
27 17.0 273.0 459.0
28 17.0 274.0 459.0
29 18.0 274.0 459.0
30 19.0 274.0 459.0
31 20.0 274.0 459.0
32 20.0 274.0 458.0
33 21.0 274.0 458.0
34 21.0 275.0 458.0
35 22.0 275.0 458.0
36 22.0 275.0 457.0
37 23.0 275.0 457.0
